# Volume injected (mL),pressure (bar)
2.100552290083332885e+00,1.758992872000000096e+00
2.100518956749999777e+00,1.758992872000000096e+00
2.100485623416666670e+00,1.752787582000000288e+00
2.100452290083333118e+00,1.758992872000000096e+00
2.100418956750000010e+00,1.761061302000000106e+00
2.100385623416666903e+00,1.756924442000000086e+00
2.100352290083332907e+00,1.758992872000000096e+00
2.100318956749999799e+00,1.752787582000000288e+00
2.100285623416666247e+00,1.758992872000000096e+00
2.100252290083333140e+00,1.752787582000000288e+00
2.100218956750000032e+00,1.752787582000000288e+00
2.100185623416666481e+00,1.758992872000000096e+00
2.100152290083333373e+00,1.754856012000000298e+00
2.100118956750000265e+00,1.756924442000000086e+00
2.100085623416666269e+00,1.752787582000000288e+00
2.100052290083333162e+00,1.754856012000000298e+00
2.100018956749999610e+00,1.758992872000000096e+00
2.099985623416666503e+00,1.752787582000000288e+00
2.099952290083333395e+00,1.758992872000000096e+00
2.099918956749999843e+00,1.758992872000000096e+00
2.099885623416666736e+00,1.758992872000000096e+00
2.099852290083333628e+00,1.752787582000000288e+00
2.099818956749999632e+00,1.754856012000000298e+00
2.099785623416666525e+00,1.758992872000000096e+00
2.099752290083332973e+00,1.761061302000000106e+00
2.099718956749999865e+00,1.754856012000000298e+00
2.099685623416666758e+00,1.754856012000000298e+00
2.099652290083333206e+00,1.758992872000000096e+00
2.099618956750000098e+00,1.750305466000000143e+00
2.099585623416666103e+00,1.758992872000000096e+00
2.099552290083332995e+00,1.754856012000000298e+00
2.099518956749999887e+00,1.754856012000000298e+00
2.099485623416666336e+00,1.752787582000000288e+00
2.099452290083333228e+00,1.750305466000000143e+00
2.099418956750000120e+00,1.750305466000000143e+00
2.099385623416666569e+00,1.752787582000000288e+00
2.099352290083333461e+00,1.754856012000000298e+00
2.099318956749999465e+00,1.752787582000000288e+00
2.099285623416666358e+00,1.754856012000000298e+00
2.099252290083333250e+00,1.761061302000000106e+00
2.099218956749999698e+00,1.752787582000000288e+00
2.099185623416666591e+00,1.758992872000000096e+00
2.099152290083333483e+00,1.754856012000000298e+00
2.099118956749999931e+00,1.754856012000000298e+00
2.099085623416666380e+00,1.752787582000000288e+00
2.099052290083332828e+00,1.750305466000000143e+00
2.099018956749999720e+00,1.756924442000000086e+00
2.098985623416666613e+00,1.750305466000000143e+00
2.098952290083333061e+00,1.750305466000000143e+00
2.098918956749999953e+00,1.752787582000000288e+00
2.098885623416666846e+00,1.754856012000000298e+00
2.098852290083333294e+00,1.756924442000000086e+00
2.098818956749999742e+00,1.754856012000000298e+00
2.098785623416666191e+00,1.756924442000000086e+00
2.098752290083333083e+00,1.750305466000000143e+00
2.098718956749999975e+00,1.752787582000000288e+00
2.098685623416666424e+00,1.754856012000000298e+00
2.098652290083333316e+00,1.754856012000000298e+00
2.098618956750000208e+00,1.752787582000000288e+00
2.098585623416666657e+00,1.752787582000000288e+00
2.098552290083333105e+00,1.750305466000000143e+00
2.098518956749999553e+00,1.754856012000000298e+00
2.098485623416666446e+00,1.752787582000000288e+00
2.098452290083333338e+00,1.752787582000000288e+00
2.098418956749999786e+00,1.752787582000000288e+00
2.098385623416666679e+00,1.758992872000000096e+00
2.098352290083333571e+00,1.748237036000000133e+00
2.098318956749999575e+00,1.752787582000000288e+00
2.098285623416666468e+00,1.750305466000000143e+00
2.098252290083332916e+00,1.752787582000000288e+00
2.098218956749999808e+00,1.754856012000000298e+00
2.098185623416666701e+00,1.750305466000000143e+00
2.098152290083333149e+00,1.752787582000000288e+00
2.098118956750000041e+00,1.752787582000000288e+00
2.098085623416666934e+00,1.758992872000000096e+00
2.098052290083332938e+00,1.750305466000000143e+00
2.098018956749999830e+00,1.756924442000000086e+00
2.097985623416666279e+00,1.752787582000000288e+00
2.097952290083333171e+00,1.756924442000000086e+00
2.097918956750000063e+00,1.750305466000000143e+00
2.097885623416666512e+00,1.754856012000000298e+00
2.097852290083333404e+00,1.752787582000000288e+00
2.097818956749999408e+00,1.750305466000000143e+00
2.097785623416666301e+00,1.752787582000000288e+00
2.097752290083333193e+00,1.744100176000000335e+00
2.097718956749999641e+00,1.752787582000000288e+00
