# Volume [mL],Pressure [Bar]
2.388352269083333201e+00,1.151285355000000088e+01
2.388318935750000094e+00,1.151974829999999983e+01
2.388285602416666542e+00,1.156939050000000258e+01
2.388252269083333434e+00,1.154732730000000096e+01
2.388218935749999439e+00,1.154043255000000023e+01
2.388185602416666331e+00,1.151974829999999983e+01
2.388152269083333223e+00,1.160524320000000209e+01
2.388118935749999672e+00,1.160524320000000209e+01
2.388085602416666564e+00,1.149906405000000120e+01
2.388052269083333456e+00,1.155560100000000290e+01
2.388018935749999905e+00,1.153353780000000128e+01
2.387985602416666797e+00,1.147700085000000136e+01
2.387952269083332801e+00,1.147010610000000064e+01
2.387918935749999694e+00,1.159696950000000193e+01
2.387885602416666586e+00,1.155560100000000290e+01
2.387852269083333034e+00,1.148389560000000031e+01
2.387818935749999927e+00,1.153353780000000128e+01
2.387785602416666819e+00,1.151974829999999983e+01
2.387752269083333267e+00,1.152664305000000056e+01
2.387718935749999716e+00,1.145631660000000096e+01
2.387685602416666164e+00,1.149906405000000120e+01
2.387652269083333056e+00,1.149906405000000120e+01
2.387618935749999949e+00,1.147010610000000064e+01
2.387585602416666397e+00,1.150595880000000015e+01
2.387552269083333290e+00,1.154043255000000023e+01
2.387518935750000182e+00,1.152664305000000056e+01
2.387485602416666630e+00,1.154043255000000023e+01
2.387452269083333078e+00,1.157628524999999975e+01
2.387418935749999527e+00,1.154732730000000096e+01
2.387385602416666419e+00,1.156939050000000258e+01
2.387352269083333312e+00,1.151285355000000088e+01
2.387318935749999760e+00,1.154732730000000096e+01
2.387285602416666652e+00,1.156249575000000007e+01
2.387252269083333545e+00,1.149079035000000104e+01
2.387218935749999993e+00,1.149906405000000120e+01
2.387185602416666441e+00,1.147700085000000136e+01
2.387152269083332889e+00,1.152664305000000056e+01
2.387118935749999782e+00,1.155560100000000290e+01
2.387085602416666674e+00,1.151974829999999983e+01
2.387052269083333123e+00,1.155560100000000290e+01
2.387018935750000015e+00,1.151285355000000088e+01
2.386985602416666907e+00,1.156249575000000007e+01
2.386952269083332911e+00,1.153353780000000128e+01
2.386918935749999804e+00,1.147010610000000064e+01
2.386885602416666252e+00,1.152664305000000056e+01
2.386852269083333145e+00,1.157628524999999975e+01
2.386818935750000037e+00,1.152664305000000056e+01
2.386785602416666485e+00,1.146321135000000169e+01
2.386752269083333378e+00,1.155560100000000290e+01
2.386718935750000270e+00,1.150595880000000015e+01
2.386685602416666274e+00,1.157628524999999975e+01
2.386652269083333167e+00,1.149906405000000120e+01
2.386618935749999615e+00,1.149079035000000104e+01
2.386585602416666507e+00,1.152664305000000056e+01
2.386552269083333400e+00,1.145631660000000096e+01
2.386518935749999848e+00,1.151974829999999983e+01
2.386485602416666740e+00,1.154043255000000023e+01
2.386452269083332745e+00,1.154732730000000096e+01
2.386418935749999637e+00,1.147700085000000136e+01
2.386385602416666529e+00,1.146321135000000169e+01
2.386352269083332978e+00,1.149079035000000104e+01
2.386318935749999870e+00,1.143425340000000112e+01
2.386285602416666762e+00,1.144942185000000201e+01
2.386252269083333211e+00,1.145631660000000096e+01
2.386218935750000103e+00,1.147700085000000136e+01
2.386185602416666107e+00,1.149079035000000104e+01
2.386152269083333000e+00,1.149079035000000104e+01
2.386118935749999892e+00,1.146321135000000169e+01
