# Volume (mL), Pressure (Bar)
1.605332699986428580e+00,2.355114397999999998e+00
1.604604768496395550e+00,2.357182828000000452e+00
1.603876954990527182e+00,2.359251258000000462e+00
1.605232699986427924e+00,2.355114397999999998e+00
1.605199366653094817e+00,2.355114397999999998e+00
1.605166033319761709e+00,2.355114397999999998e+00
1.605827416187660228e+00,2.353045967999999988e+00
1.605099366653095050e+00,2.355114397999999998e+00
1.604371435163062909e+00,2.357182828000000452e+00
1.605727416187660017e+00,2.353045967999999988e+00
1.603610288323860544e+00,2.359251258000000462e+00
1.604966033319761287e+00,2.355114397999999998e+00
1.604932699986428180e+00,2.355114397999999998e+00
1.604899366653095072e+00,2.355114397999999998e+00
1.604866033319761520e+00,2.355114397999999998e+00
1.602749259408502880e+00,2.361319688000000472e+00
1.604799366653094417e+00,2.355114397999999998e+00
1.604766033319761309e+00,2.355114397999999998e+00
1.602649259408502669e+00,2.361319688000000472e+00
1.604699366653094650e+00,2.355114397999999998e+00
1.604666033319761542e+00,2.355114397999999998e+00
1.602549259408502902e+00,2.361319688000000472e+00
1.603904768496395850e+00,2.357182828000000452e+00
1.604566033319761775e+00,2.355114397999999998e+00
1.603838101829728746e+00,2.357182828000000452e+00
1.605194082854326743e+00,2.353045967999999988e+00
1.603076954990527270e+00,2.359251258000000462e+00
1.604432699986428013e+00,2.355114397999999998e+00
1.602315926075169372e+00,2.361319688000000472e+00
1.605060749520993868e+00,2.353045967999999988e+00
1.605027416187660316e+00,2.353045967999999988e+00
1.603604768496395661e+00,2.357182828000000452e+00
1.602182592741835609e+00,2.361319688000000472e+00
1.604232699986428035e+00,2.355114397999999998e+00
1.604199366653094927e+00,2.355114397999999998e+00
1.602776954990527081e+00,2.359251258000000462e+00
1.602049259408502735e+00,2.361319688000000472e+00
1.602710288323860865e+00,2.359251258000000462e+00
1.601982592741836076e+00,2.361319688000000472e+00
1.601949259408502524e+00,2.361319688000000472e+00
1.601221681690054188e+00,2.363388118000000482e+00
1.603271435163062364e+00,2.357182828000000452e+00
1.602543621657193995e+00,2.359251258000000462e+00
1.603204768496395705e+00,2.357182828000000452e+00
1.603866033319761630e+00,2.355114397999999998e+00
1.603832699986428523e+00,2.355114397999999998e+00
1.603799366653094971e+00,2.355114397999999998e+00
1.603766033319761419e+00,2.355114397999999998e+00
1.604427416187659938e+00,2.353045967999999988e+00
1.603699366653094760e+00,2.355114397999999998e+00
1.602971435163062619e+00,2.357182828000000452e+00
1.602938101829729067e+00,2.357182828000000452e+00
1.601515926075169460e+00,2.361319688000000472e+00
1.602871435163062852e+00,2.357182828000000452e+00
1.601449259408502357e+00,2.361319688000000472e+00
1.602804768496395749e+00,2.357182828000000452e+00
1.602771435163062197e+00,2.357182828000000452e+00
1.603432699986428123e+00,2.355114397999999998e+00
1.603399366653095015e+00,2.355114397999999998e+00
1.601282592741835931e+00,2.361319688000000472e+00
1.602638101829729322e+00,2.357182828000000452e+00
1.603299366653095248e+00,2.355114397999999998e+00
1.601182592741835720e+00,2.361319688000000472e+00
1.600455015023387828e+00,2.363388118000000482e+00
1.603894082854326664e+00,2.353045967999999988e+00
1.603166033319761485e+00,2.355114397999999998e+00
1.603132699986428378e+00,2.355114397999999998e+00
1.601710288323860532e+00,2.359251258000000462e+00
1.603066033319761718e+00,2.355114397999999998e+00
1.600949259408503078e+00,2.361319688000000472e+00
1.603694082854326686e+00,2.353045967999999988e+00
1.600188348356721191e+00,2.363388118000000482e+00
1.600849259408502423e+00,2.361319688000000472e+00
1.602899366653094848e+00,2.355114397999999998e+00
1.602171435163062707e+00,2.357182828000000452e+00
1.602832699986428189e+00,2.355114397999999998e+00
1.600715926075169548e+00,2.361319688000000472e+00
